Alameda County	Alpine County	Amador County	Butte County	Calaveras County	Colusa County	Contra Costa County	Del Norte County	El Dorado County	Fresno County	Glenn County	Humboldt County	Imperial County	Inyo County	Kern County	Kings County	Lake County	Lassen County	Los Angeles County	Madera County	Marin County	Mariposa County	Mendocino County	Merced County	Modoc County	Mono County	Monterey County	Napa County	Nevada County	Orange County	Placer County	Plumas County	Riverside County	Sacramento County	San Benito County	San Bernardino County	San Diego County	San Francisco County	San Joaquin County	San Luis Obispo County	San Mateo County	Santa Barbara County	Santa Clara County	Santa Cruz County	Shasta County	Sierra County	Siskiyou County	Solano County	Sonoma County	Stanislaus County	Sutter County	Tehama County	Trinity County	Tulare County	Tuolumne County	Ventura County	Yolo County	Yuba County
Alameda County	0.0	214.31700900576968	141.38348375297298	226.09611658776183	132.69688790136806	172.5351522380182	30.476760023600402	491.436885292806	174.70721049134764	222.88594822202367	221.54460791524428	381.89525748567553	784.5064581422313	417.5875018095975	382.5606603879756	255.84352307372504	176.6380689688557	359.2250344852703	505.1697970203215	197.05658557478446	85.90893165702941	176.34915800477046	238.99516059948013	116.47908351672018	450.50016295628444	268.58422984918815	165.2022503527134	102.2409942544621	208.671614981424	578.2952215487383	188.45079081169487	277.27879842828827	688.6769422948313	102.36790811850203	136.5983002329551	600.1208650199662	693.5801193540055	98.93305730937823	64.72650395411517	283.5345700940697	48.02897880397117	384.5580485752807	51.296961208974054	71.06504766066972	346.37560561333333	246.24721602340512	441.4129136808321	68.99146994115732	131.91546147069275	80.6872177119073	155.52250476312517	277.0397820192829	349.37729127143734	319.86143259074584	176.0393718278735	442.9016635833821	114.80734018039793	187.12650797316672
Alpine County	214.31700900576968	0.0	77.00753460977985	194.08730492785855	82.41519993123121	219.93984614235129	203.53971947781764	499.53729897119433	66.40305791615371	207.29291665618686	249.67156558891438	422.52007040999115	738.3692225755692	311.3700358900497	376.3428133772541	283.47385877079785	260.64391115934905	244.03814682766358	510.9052371793075	157.06073543633337	264.7713464708295	117.3781318213273	327.44152296412136	178.19608238992726	339.50779729966973	112.5037945197605	296.7743603768433	220.1185480157674	112.79589575507607	579.1009629341072	93.83716360919597	176.11237732855963	641.7099211627592	135.48015805397813	250.70272803617982	528.2059576547973	679.399651051793	299.65402177672377	149.6105936448618	364.47355427217553	262.33433746053055	454.712352111597	227.6284148748778	263.93072563595626	305.691625557108	123.203236862878	403.5446849369889	190.59581757028565	272.1048529285711	158.07654095275325	171.37524651590178	267.84500318851804	362.43410340677906	280.8329608893028	68.31541815933541	477.7395915952981	182.82749830248676	151.8870517134601
Amador County	141.38348375297298	77.00753460977985	0.0	158.6711357796083	29.97651770094325	159.6657365074243	127.51711638244086	466.2668384021488	39.43011926264053	206.7463158607948	198.5035132907933	376.75681570731723	767.5224164722673	354.8731833550539	384.51142452624566	273.8876449318406	195.35659844315444	253.25874183876516	518.555569475748	158.50423645834698	187.81246797330618	116.8291951648423	265.0848171592735	138.9859646507895	350.2368457510771	166.17240680009854	251.89594519073893	145.7243150585163	95.4989609512599	589.7732650022211	69.03083412646042	172.83785440537045	670.189189099982	59.79629606095132	207.32341397810072	563.9757637871378	696.7566834728065	222.86639489939265	78.22210085480437	340.56429320666354	189.16402221024612	437.83155344003114	163.6345283916318	198.70941089602024	283.8048500128452	126.53946819745266	384.5100349299108	113.81229246412227	197.98218139884392	102.64837077247144	112.41450294267912	231.20456902596155	323.3723983119552	296.7341715129498	76.3281039457519	474.140733815404	111.68829685150483	109.64188346722301
Butte County	226.09611658776183	194.08730492785855	158.6711357796083	0.0	187.77164909448686	76.99506102567457	196.54887607717552	308.8348236079682	134.3139616945859	365.038184010033	68.85084342705886	228.84044815571005	924.447663808126	503.8798646991147	542.9413667455134	429.2163544519495	117.11125113256568	143.45780992551659	676.6385893537723	317.17323302337894	205.00120503639715	275.393667835796	159.96353536419312	285.2457208226031	226.86711453375005	306.1114044216414	381.7630993387676	143.2090644133636	82.21720647691885	748.1542670731365	101.10517609949773	75.66547451769826	827.2050634082218	137.07846230327033	342.71835061371513	718.0614494013573	855.4221199910568	248.749069018929	194.5840925134078	486.74633309170747	259.12310023804514	586.8595387811193	272.00144430630985	297.1611490849434	127.35489739011878	93.02408505041039	227.71100347080656	158.2478221471177	170.72717334451335	239.63381029855375	70.57440240477577	74.23128972492337	168.64517256314224	455.18671957532655	231.38338703169197	629.4552742926036	112.69634444703804	49.258778208378274
Calaveras County	132.69688790136806	82.41519993123121	29.97651770094325	187.77164909448686	0.0	182.69755528312936	125.21812889723266	494.3766950648936	66.94924657054224	177.28720536416063	224.15300625070014	402.63702531198646	740.3415620193663	332.1990412789853	355.17292452004364	243.91172101857236	215.12821701329773	282.1835632918846	489.0144830381819	129.73349101580794	191.66581203003116	88.88054066874182	285.65095049713204	110.89481132513494	379.3017760076546	150.631778376117	226.21935751890345	158.01416133287108	125.15856735606489	560.4007456797436	98.6438945884265	202.3605081465347	642.994166455701	74.12424400327737	180.94796255891484	538.4285144739981	667.9427885209545	222.49240686382308	68.10932158644535	311.3636750531265	180.57630717839464	408.1876620274448	146.0729401049769	182.1765808667264	313.467003316127	154.93500816739208	414.19059494699013	120.7401110299124	209.64983431186968	79.23442998730978	137.24207683876668	259.5989785666377	350.907285734496	268.5408490114048	55.24878000337113	444.17524690821625	129.1568461711229	138.56245416634002
Colusa County	172.5351522380182	219.93984614235129	159.6657365074243	76.99506102567457	182.69755528312936	0.0	142.10556900502678	324.04279862538584	153.54944756852603	351.3402695502621	49.29746389777135	222.7603402056653	920.2104493247248	514.286495085251	527.017584427432	405.8206725691791	44.87473570184531	219.60473796290793	657.4579525647533	308.4364850499919	132.76009128556976	270.2167720021341	107.50178131843502	257.17384351368094	297.77593614829044	324.3059902569335	336.5624857132893	74.96306161581866	126.97523416188479	730.2064972055065	131.3129869000041	151.22497350793952	822.9489388098986	112.20184074534986	302.81204384053734	720.738292338674	841.6510875810526	175.5039081198677	161.6810567656326	450.43690235943154	196.39228188558292	551.7674817082556	222.7895531308219	241.60697431203914	176.77132401194154	153.98959809100975	269.17471227256226	104.4920711152647	93.91554169776188	209.40463102153265	48.65890069712107	105.46033099348423	179.75844072287487	447.1284921985131	235.6627370332452	602.8856217235518	62.517857494437635	77.63213427921704
Contra Costa County	30.476760023600402	203.53971947781764	127.51711638244086	196.54887607717552	125.21812889723266	142.10556900502678	0.0	461.95565382617514	156.68086897830602	240.43051410207306	191.17448629640018	353.3994233832348	806.4353768590167	429.8744611248955	405.53788622153587	279.5617755103557	147.87560037195448	331.6083076253643	530.3586598528038	209.48506068178213	71.16169425580357	183.41391399374876	212.26798458804797	134.99690036944568	421.83721011524756	269.8511487271475	195.07244806161992	73.06909897138743	184.37455533167582	603.5125092880633	166.06460990391417	250.24052985468026	710.1531587422802	79.57938551673465	164.48220168594833	618.4627105760923	718.0773723837015	97.29693830068085	59.60590181081341	312.0936615003481	67.21173530034974	413.3202901554102	81.02378917262482	100.97233223335022	316.00772487615444	222.10829528043573	410.9365117491903	38.68178287258136	108.5533708810653	92.3921333202264	126.02913439493182	246.5665316241731	319.45131542511	338.2824310704072	174.52516229198315	469.8535554777587	84.62963349807296	159.18786359970863
Del Norte County	491.436885292806	499.53729897119433	466.2668384021488	308.8348236079682	494.3766950648936	324.04279862538584	461.95565382617514	0.0	442.98561560029634	670.3297638778942	275.68195565246157	117.74485870663712	1233.2427559962211	810.8832958633145	847.8299267810378	729.0110237689579	315.2759413751635	304.951054666783	979.9035425135612	624.0678703719408	426.4673527516907	582.9998078430224	263.5439723083129	580.7600680079646	273.4853976809223	611.9981969756469	656.5799173180328	389.19602246835035	387.0343107578791	1052.2805954706917	409.1043330859909	332.0074170912425	1135.9766705309523	432.4793673374761	625.6792757729986	1026.51530624753	1161.8307922895508	456.47145710985455	485.36154355844974	773.529473227769	503.4047729351154	874.8812477322934	542.7100107463134	555.4511569320055	198.2095776744367	381.20266903926756	123.67177405752011	426.66760987338	371.5893993894509	533.0660561369199	360.4108417192528	235.1469856854976	144.6915712310011	762.8789864035958	540.1481625884254	926.8692196605216	386.55490388423823	356.9336716887705
El Dorado County	174.70721049134764	66.40305791615371	39.43011926264053	134.3139616945859	66.94924657054224	153.54944756852603	156.68086897830602	442.98561560029634	0.0	238.01566363028795	184.79488984862857	360.13096024333026	790.6053080168067	370.13939187942907	414.54413738043434	308.2857193880783	194.41544148952187	215.37044062047224	549.1887008866458	188.21714586368526	209.24395641080343	145.6695146396851	261.05032206436755	177.6596262297563	312.54969860516866	174.01828883532337	291.3124887975968	158.6474999706037	60.49198599560597	619.5893404754571	34.79404905346067	136.4740087073234	693.4387472784118	79.36353062239748	246.64952935841765	583.7474956126025	724.4390097702156	247.82482566150486	114.39813373625671	378.1839350974949	221.54324742232583	474.4678171634066	201.34759954890427	235.7390975664685	254.6706197088863	87.99637353802322	354.84950451757004	135.15867002055793	209.69965516494977	142.0576599522765	104.97221650318015	208.493460468453	302.59954347589814	323.6201954154423	98.4013912434593	507.8772942572865	119.26246039606347	88.30901349842009
Fresno County	222.88594822202367	207.29291665618686	206.7463158607948	365.038184010033	177.28720536416063	351.3402695502621	240.43051410207306	670.3297638778942	238.01566363028795	0.0	396.7762676792596	574.0709166614336	569.8343158106469	202.0040911294939	177.92071081838708	77.89630684139485	375.2902518812706	448.37636269500564	311.8164250511476	50.61110322745946	308.4210765678755	92.81522654877824	445.0082678582139	106.41090649932853	545.0326956282042	145.74761883545955	159.32528472671072	304.95439724797814	298.50583377607677	383.1170985288288	272.462453188076	373.4715355881075	472.8232695872479	239.39787584312484	128.6266048222318	378.0322857180668	491.5134708411521	317.641563914605	193.5841005468595	168.74735344565312	251.67258932340062	249.72530628511558	187.8766730288811	211.049745221538	490.527805793377	322.15302780890954	591.2103445048361	262.0012110229928	348.43307850983734	149.00767550295467	310.3401490772563	436.2920197002797	526.1120952387878	98.00458424316001	142.79888159110368	271.25750151386023	290.81926157953893	315.8020424248222
