,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,Alameda County,Alpine County,Amador County,Butte County,Calaveras County,Colusa County,Contra Costa County,Del Norte County,El Dorado County,Fresno County,Glenn County,Humboldt County,Imperial County,Inyo County,Kern County,Kings County,Lake County,Lassen County,Los Angeles County,Madera County,Marin County,Mariposa County,Mendocino County,Merced County,Modoc County,Mono County,Monterey County,Napa County,Nevada County,Orange County,Placer County,Plumas County,Riverside County,Sacramento County,San Benito County,San Bernardino County,San Diego County,San Francisco County,San Joaquin County,San Luis Obispo County,San Mateo County,Santa Barbara County,Santa Clara County,Shasta County,Sierra County,Siskiyou County,Solano County,Sonoma County,Stanislaus County,Sutter County,Tehama County,Trinity County,Tulare County,Tuolumne County,Ventura County,Yolo County,Yuba County,Churchill County,Clark County,Douglas County,Elko County,Esmeralda County,Eureka County,Lander County,Lincoln County,Lyon County,Mineral County,Nye County,Pershing County,Storey County,Washoe County,White Pine County,Carson City
Apache County,0,395.06286,212.2746212,214.7322883,275.1166787,239.7307578,455.4356785,357.3404325,387.0877375,75.3205953,419.6312762,324.0647032,1136.784981,293.3774439,499.9716214,1137.334525,982.8570277,1048.310408,1168.059714,1033.129869,1202.756552,1145.833811,1444.589545,1049.216377,925.8234444,1230.378753,1006.570052,598.8690133,723.8489369,837.4962608,934.7238592,1242.466888,1140.325861,811.5577044,941.0493442,1216.96466,962.4649684,1310.246271,1025.995312,1194.825985,882.7813846,1069.876236,1191.139786,1087.025292,782.2975294,1074.345922,1120.007289,623.9561738,1106.279161,1051.311555,611.2566973,719.4109394,1236.097293,1087.670915,992.8292325,1173.769677,965.5384143,1111.361072,1249.169836,1078.235024,1326.164902,1152.441885,1242.543217,1056.73499,1154.133531,1236.463059,1327.241418,842.7404588,978.0821556,886.7139203,1159.96335,1132.527817,900.9838805,506.5425651,977.8247653,819.0269611,773.8804218,785.0615151,833.0203491,541.3070081,949.4080189,865.746481,684.2967049,962.5786005,993.4483011,1069.797075,655.1381921,998.8748283
Cochise County,395.06286,0,480.4578313,237.4332611,121.7771429,163.3557933,450.4021616,305.1375807,566.3102701,398.0351118,192.1143304,191.5824592,1259.322126,405.2064114,402.2815671,1281.687407,1180.813486,1230.42094,1374.88966,1207.963018,1389.99142,1298.573458,1675.941389,1243.228807,1058.849689,1427.386216,1297.562173,540.3386994,875.7866411,915.9566097,1037.993891,1422.706357,1384.178115,833.1962769,1090.577143,1367.263709,1123.505988,1493.391803,1165.247317,1456.128207,1069.319364,1169.427269,1358.498293,1293.147156,775.3746716,1274.331088,1344.030796,618.750882,1281.280518,1166.219318,682.8686802,669.9603839,1374.426883,1247.082689,1063.261417,1307.024871,1000.612719,1243.330309,1478.03422,1295.00918,1567.763797,1316.089007,1405.307335,1206.280104,1342.706173,1448.403473,1542.908515,962.0735189,1154.331049,915.1576501,1336.296609,1331.444659,1147.939576,685.0644944,1186.99648,1147.433064,974.3058638,1076.829503,1109.321619,794.2245103,1167.732711,1079.728676,913.4959599,1229.713043,1219.238111,1326.096588,961.1436059,1213.567569
Coconino County,212.2746212,480.4578313,0,243.2456119,366.1557423,369.778922,312.117635,284.1270714,178.694704,140.0993548,411.6056288,325.858415,924.5782151,151.9517084,392.3879802,925.2683775,774.9989182,838.6735886,962.9181629,822.6514794,994.5103274,934.1215607,1246.638769,841.1705451,713.6628354,1023.774374,829.8371511,451.664049,511.6648054,631.1378316,724.17456,1033.457683,944.4499173,618.0150821,728.8477453,1005.275467,750.7109014,1101.873441,813.7296366,1005.500318,672.7116988,858.8556701,980.5705408,881.2650514,598.3468623,867.4063876,918.3706834,451.2199805,896.1285362,839.4761907,414.0876647,554.7300474,1023.980111,876.1866842,785.447186,961.5161767,764.619237,899.0864785,1049.573793,874.607985,1130.676082,941.4415158,1031.738327,844.7107119,945.8514277,1032.738426,1124.794156,631.557391,767.4859947,689.059568,950.1713354,925.7440366,704.1101903,294.4983963,771.8894078,667.5118406,564.7131129,606.8807123,647.1930364,340.6612065,745.1366961,659.7969609,479.4935805,773.9078985,791.3108936,877.7104729,484.7513404,794.2176892
Gila County,214.7322883,237.4332611,243.2456119,0,128.8976862,157.8697777,298.3845447,163.9327256,343.4810919,183.6229195,205.8032196,109.7004717,1075.304197,187.3639861,309.4061804,1089.151041,968.167805,1023.512161,1161.261094,1003.306164,1182.861252,1102.993489,1456.759859,1032.504767,867.6447396,1217.294434,1063.52831,429.8075331,673.5759688,745.1210839,858.757107,1218.254082,1160.138508,688.1656377,893.5103044,1173.320864,922.6693836,1288.46961,973.2427443,1228.296226,858.9179995,994.0153404,1158.08057,1079.064765,644.1138284,1061.997094,1125.051055,479.8175454,1077.369148,984.146452,507.0944012,560.0537484,1185.249816,1048.42558,899.3433026,1119.177256,852.8066853,1055.253884,1258.556008,1077.739084,1345.269757,1116.614835,1207.004913,1010.838413,1134.719336,1233.725739,1327.681806,774.5113833,948.5285847,768.8139542,1132.458551,1119.963424,921.4962836,468.0734355,970.9768058,910.0041794,758.1224841,841.8068359,876.724374,562.5198869,948.8555678,861.1043383,688.5871822,999.5009287,998.7677463,1098.736826,724.3088006,996.1832671
Graham County,275.1166787,121.7771429,366.1557423,128.8976862,0,68.38455371,396.5015399,248.2876002,471.4600243,276.4400545,199.733065,138.8918277,1193.50384,312.8988563,377.0748789,1210.273311,1094.896917,1148.858802,1288.346924,1128.012653,1308.413175,1225.114427,1584.975654,1158.834143,987.8908301,1343.610186,1191.455583,510.9360591,796.936012,857.3400876,974.6783337,1343.122387,1288.87655,789.1588666,1015.757381,1295.016115,1046.145147,1413.520757,1093.989139,1357.191811,984.9856313,1108.893883,1281.746151,1206.19798,738.5315012,1188.730256,1253.138628,575.7282996,1201.951965,1101.457434,619.7489518,643.3892659,1305.404082,1171.427879,1009.4495,1238.782079,956.0269328,1174.826206,1386.766411,1205.508735,1473.889325,1239.952808,1330.093241,1132.776435,1260.452761,1361.068634,1455.174412,893.2140822,1073.485766,870.937583,1257.078475,1246.541448,1050.359361,595.0705209,1098.441997,1033.493191,885.4359614,969.3495384,1005.172174,691.2592442,1076.844723,988.9944562,817.2870754,1128.295536,1127.038386,1227.63327,850.1843654,1123.930241
Greenlee County,239.7307578,163.3557933,369.778922,157.8697777,68.38455371,0,448.0995621,302.9070174,496.5678655,258.9744172,267.9898856,201.0766543,1233.172629,344.3856783,438.3619298,1246.690787,1122.057944,1178.956972,1314.409756,1159.287368,1338.015332,1260.251974,1606.88894,1186.886529,1025.387562,1371.565038,1199.61499,569.5198621,830.568583,902.0917667,1016.483312,1373.998221,1307.76459,840.6987649,1050.797624,1330.693982,1079.444498,1444.031943,1130.884477,1372.529289,1013.771249,1151.628691,1314.65081,1232.196487,793.0393829,1215.7973,1275.888983,629.176508,1233.398442,1141.999579,663.9740672,701.7802092,1342.956556,1205.364402,1055.802581,1276.962058,1006.584313,1213.048499,1408.853455,1229.525821,1493.581034,1273.371479,1363.849871,1168.181996,1289.716818,1386.33741,1479.9152,932.378597,1104.354271,921.9986721,1288.433038,1273.944243,1067.959016,622.4424672,1123.574966,1031.299367,911.3076399,976.6549845,1016.246134,705.5649386,1100.195847,1012.844151,837.361744,1141.826182,1149.116145,1243.777563,853.4212241,1148.113868
La Paz County,455.4356785,450.4021616,312.117635,298.3845447,396.5015399,448.0995621,0,148.9219,222.8600149,387.3953683,275.5508241,264.0918624,809.1929597,167.8331647,106.707896,833.5721278,750.2786637,792.2634545,943.0696826,767.8815132,950.5741136,851.6772485,1249.772506,809.2099262,611.2881863,990.7048002,926.6292699,144.1346121,439.1946256,465.7817784,587.6639538,980.7265104,971.599764,392.9184517,645.8578929,919.3956109,681.1078453,1051.378815,717.4124804,1053.07046,637.7870321,719.1461886,913.9923134,862.9687196,345.8586468,841.9739291,921.1792391,181.5720535,839.8665947,715.983756,233.4697822,265.9493376,925.0422618,802.1358932,615.0119825,857.4662039,559.5488454,793.9623666,1054.326,869.8472153,1149.028138,871.2260575,959.3257149,759.783667,904.5232662,1017.270645,1111.68066,513.7361199,715.9722107,474.5452756,894.3982126,897.3063812,747.7924274,290.4189542,761.5803433,832.422093,554.9559003,722.7659363,736.6307809,440.7640604,747.9694503,661.7437599,519.253996,840.744723,801.6061911,924.0751353,637.4211707,790.0163595
Maricopa County,357.3404325,305.1375807,284.1270714,163.9327256,248.2876002,302.9070174,148.9219,0,287.6109638,302.7957854,150.9705351,115.6410972,954.9208155,143.167127,146.1125502,976.5599778,880.1303783,927.2428908,1074.092611,904.1965691,1086.582518,993.4677843,1377.837461,941.4278918,753.7142017,1124.901455,1024.669749,267.9355823,572.3703235,613.6348047,734.0689904,1118.578229,1091.480839,540.9480771,785.680023,1062.126504,819.0761558,1189.290519,860.1141932,1168.089859,768.0028341,866.6311986,1053.746789,992.8313927,490.6871851,973.1732194,1046.748598,327.4878183,977.2147501,862.0113427,378.4056113,399.6114525,1069.505722,942.2121696,763.7614988,1002.187023,707.9798578,938.4296889,1180.673997,996.6614396,1272.74307,1011.256133,1100.315862,901.1953277,1039.641855,1147.974512,1242.564058,657.0123803,850.9955691,622.7947094,1032.140308,1029.735584,859.8482367,393.0695201,888.2629429,902.7446552,677.0246094,810.4642249,833.981758,522.7331299,871.2001893,783.5471294,625.9467527,947.3933677,923.781852,1038.058262,708.6114614,915.6508718
Mohave County,387.0877375,566.3102701,178.694704,343.4810919,471.4600243,496.5678655,222.8600149,287.6109638,0,312.2781883,438.4096495,380.4788466,753.0056156,161.1051989,327.66654,758.567436,625.4988647,683.1032612,818.1082034,664.2927418,841.7952309,769.722638,1113.519019,690.346348,542.0761623,875.0004246,738.1407969,332.120328,341.2848668,452.4553796,547.7318994,878.3842702,818.5204013,444.5846916,561.5151828,840.7358391,587.0305038,948.1489103,644.7325254,889.8587509,517.4893206,683.0954858,820.8678903,735.8927929,432.5248548,719.2571023,781.6859519,302.0393399,738.3949281,665.7961357,240.5332436,408.4816216,856.5500306,713.2405793,606.9462091,792.463684,586.8139908,729.2369433,915.3105819,734.2579924,1002.955866,780.3035078,870.9337934,678.6557597,793.4045949,890.3725277,984.25007,456.267501,609.1496662,512.8072235,793.2611935,777.383015,581.6309564,126.4567446,627.5880652,618.9528403,414.9159748,522.859281,547.814961,235.1352266,605.423451,517.6333969,347.2703398,664.6309726,655.6109201,759.8014484,423.7869973,652.7031917
Navajo County,75.3205953,398.0351118,140.0993548,183.6229195,276.4400545,258.9744172,387.3953683,302.7957854,312.2781883,0,387.1625795,291.238912,1063.253687,222.1595456,440.3595089,1065.017078,914.4397627,978.6138043,1101.418939,962.724714,1134.115748,1074.100663,1382.036893,980.6874955,852.220424,1162.845824,953.3901169,531.4611492,650.362086,762.2105099,860.0086268,1173.275047,1078.652446,736.9597564,868.4143048,1145.259328,890.6867739,1241.529482,953.0426686,1136.339015,812.7167776,995.3087687,1120.656533,1019.982275,708.9188406,1006.558784,1055.343826,551.9462937,1036.164636,977.2493347,536.1777274,649.1644078,1163.657578,1016.235667,917.5835205,1100.883162,890.3515883,1038.247372,1185.66592,1012.444724,1264.809232,1081.540009,1171.836615,984.5094854,1085.459881,1170.680464,1262.218263,768.3008356,907.5681071,811.7497517,1090.151629,1064.856452,838.58322,432.9547397,910.6334855,775.3751827,704.4903243,730.6909237,775.5528228,476.3779564,883.1829743,798.4922629,617.5535835,904.104884,928.4371911,1009.88781,603.2958213,932.4537038
