Apache County	Cochise County	Coconino County	Gila County	Graham County	Greenlee County	La Paz County	Maricopa County	Mohave County	Navajo County	Pima County	Pinal County	Santa Cruz County	Yavapai County	Yuma County	Alameda County	Alpine County	Amador County	Butte County	Calaveras County	Colusa County	Contra Costa County	Del Norte County	El Dorado County	Fresno County	Glenn County	Humboldt County	Imperial County	Inyo County	Kern County	Kings County	Lake County	Lassen County	Los Angeles County	Madera County	Marin County	Mariposa County	Mendocino County	Merced County	Modoc County	Mono County	Monterey County	Napa County	Nevada County	Orange County	Placer County	Plumas County	Riverside County	Sacramento County	San Benito County	San Bernardino County	San Diego County	San Francisco County	San Joaquin County	San Luis Obispo County	San Mateo County	Santa Barbara County	Santa Clara County	Shasta County	Sierra County	Siskiyou County	Solano County	Sonoma County	Stanislaus County	Sutter County	Tehama County	Trinity County	Tulare County	Tuolumne County	Ventura County	Yolo County	Yuba County	Churchill County	Clark County	Douglas County	Elko County	Esmeralda County	Eureka County	Lander County	Lincoln County	Lyon County	Mineral County	Nye County	Pershing County	Storey County	Washoe County	White Pine County	Carson City
Apache County	0.0	395.06285998873403	212.27462123450144	214.73228831505176	275.1166786745879	239.73075780101007	455.43567852022016	357.3404325458023	387.0877375241653	75.32059529510704	419.6312761675322	324.0647031626843	1136.7849809976565	293.37744392090036	499.97162135295696	1137.3345248086187	982.8570276548479	1048.3104076789175	1168.0597136718231	1033.1298687269505	1202.7565521868564	1145.8338111421294	1444.5895451955114	1049.2163771053401	925.8234444476637	1230.3787530699199	1006.5700520877515	598.8690133403347	723.8489368545556	837.4962608441299	934.7238592120207	1242.4668884542332	1140.3258614707263	811.5577044368175	941.0493442462556	1216.9646596064385	962.4649683699103	1310.2462710133877	1025.9953123927826	1194.8259846758556	882.7813845577998	1069.8762355291974	1191.1397860168881	1087.0252919810503	782.2975293641447	1074.345922291818	1120.0072887158233	623.9561737771777	1106.2791612523663	1051.3115546481097	611.2566972741388	719.410939406121	1236.097293295429	1087.67091489576	992.8292324848813	1173.7696774884434	965.5384142741068	1111.361071892285	1249.169836373319	1078.2350242758773	1326.1649022711958	1152.4418846234796	1242.543217239089	1056.7349899972953	1154.1335311729583	1236.463058533435	1327.2414177491783	842.7404587892762	978.0821556461971	886.7139202637762	1159.9633503019186	1132.527816595895	900.9838804998218	506.542565065371	977.8247652963563	819.0269611092612	773.880421764284	785.0615150695133	833.0203491384864	541.3070081111823	949.4080188529769	865.7464809857294	684.2967049020405	962.5786005284715	993.4483011157253	1069.7970746250664	655.1381921023436	998.874828290429
Cochise County	395.06285998873403	0.0	480.45783128363126	237.4332610952387	121.77714291243241	163.35579332566863	450.40216158440745	305.13758069872614	566.3102701018606	398.0351118390162	192.11433043642992	191.58245922765047	1259.3221259973207	405.20641135858796	402.281567050978	1281.6874068733287	1180.8134860895284	1230.4209396536837	1374.8896601257045	1207.9630180017443	1389.9914197538112	1298.5734575160773	1675.9413889892844	1243.2288071456696	1058.849688944786	1427.3862160156716	1297.5621728393596	540.3386994059318	875.7866410507197	915.9566097274433	1037.9938910029791	1422.7063571037384	1384.1781145685416	833.1962769473641	1090.577143226957	1367.2637093616702	1123.505988105819	1493.3918033941122	1165.2473167899682	1456.1282072109138	1069.3193637580534	1169.4272688997974	1358.4982931737468	1293.1471558516675	775.3746715722355	1274.3310877776314	1344.0307957989805	618.7508819694432	1281.2805180714013	1166.2193179655565	682.8686801684996	669.9603838574565	1374.4268827116625	1247.082689456888	1063.2614171327361	1307.0248706975756	1000.6127189155999	1243.3303090862141	1478.0342200746957	1295.0091796429747	1567.763797200457	1316.08900661714	1405.3073345640037	1206.2801039649696	1342.7061726761356	1448.403473005469	1542.9085147289713	962.073518938155	1154.3310487420072	915.157650079017	1336.2966093987484	1331.4446589315496	1147.9395756510207	685.0644943952384	1186.9964799010697	1147.4330639067973	974.305863771009	1076.8295034703362	1109.3216191721544	794.2245103205082	1167.7327108212364	1079.7286758456262	913.4959599249729	1229.713042965428	1219.238111336407	1326.0965877259425	961.1436059250624	1213.5675686672012
Coconino County	212.27462123450144	480.45783128363126	0.0	243.24561193558316	366.1557422927238	369.77892203291947	312.1176349938672	284.12707136190977	178.6947039839526	140.09935481509353	411.60562876798616	325.85841503861616	924.5782151327138	151.9517084006051	392.38798016858766	925.2683775043301	774.9989181615739	838.6735886303544	962.9181629161958	822.6514793978859	994.5103274219148	934.1215606859157	1246.6387690197373	841.1705451437019	713.6628353507859	1023.7743735660431	829.8371511380803	451.6640490451878	511.66480535729477	631.1378316350219	724.1745599814238	1033.4576833322487	944.4499172874845	618.0150820587671	728.8477452791399	1005.2754671864981	750.7109013740127	1101.873441015374	813.7296365530196	1005.5003179265386	672.7116988044023	858.855670149459	980.5705407927596	881.2650514009872	598.3468622591333	867.4063876480348	918.3706833521677	451.21998047912103	896.1285361828227	839.476190654505	414.0876647196545	554.7300474314502	1023.980110755225	876.1866841948329	785.4471860028168	961.5161766668673	764.6192369608108	899.0864785296233	1049.5737930255082	874.6079849667516	1130.6760820567724	941.4415158313388	1031.738326742546	844.7107119429686	945.8514276609127	1032.7384259233456	1124.794156464346	631.557391028933	767.4859947071901	689.0595680408777	950.1713353631419	925.744036617987	704.110190293382	294.498396256258	771.8894078416743	667.5118406185819	564.7131129191163	606.8807123047578	647.1930363957763	340.6612065018482	745.136696121729	659.7969609072683	479.49358047225206	773.9078984664054	791.3108935664447	877.7104728570414	484.75134044581756	794.2176891535108
Gila County	214.73228831505176	237.4332610952387	243.24561193558316	0.0	128.89768623296177	157.86977771217775	298.3845447412421	163.93272559651186	343.4810918704096	183.6229194745017	205.80321955660642	109.70047168216894	1075.3041969073292	187.36398612140604	309.40618039640896	1089.1510405934907	968.1678049930143	1023.5121605858567	1161.2610943306202	1003.3061636394002	1182.8612520240717	1102.9934886775952	1456.7598592383454	1032.5047668887496	867.6447396136888	1217.294434246759	1063.5283095083878	429.80753313689723	673.5759687939825	745.1210838971261	858.7571070415443	1218.2540821047971	1160.1385077777777	688.1656376581745	893.5103044206761	1173.320863506323	922.669383570738	1288.4696100004621	973.2427442844453	1228.2962259600463	858.91799953715	994.015340410671	1158.0805699276304	1079.0647653786377	644.1138284032737	1061.9970935189149	1125.0510554629404	479.8175454394304	1077.3691477194798	984.146451999442	507.0944011935707	560.0537483725609	1185.2498164171272	1048.4255803199103	899.3433025940558	1119.1772559015487	852.8066853292037	1055.2538836563	1258.5560080517648	1077.739083574481	1345.2697572838085	1116.6148347041503	1207.004912727409	1010.8384131642015	1134.719335811834	1233.7257390884113	1327.6818056616546	774.5113833113854	948.5285846610484	768.8139541651665	1132.4585514828275	1119.963424287811	921.4962836334755	468.0734354862932	970.9768058281198	910.0041793865555	758.1224840544133	841.8068358886754	876.724373991263	562.5198869337772	948.8555678056881	861.1043382923552	688.5871821741422	999.5009287053783	998.7677462831023	1098.7368262454258	724.3088005857502	996.183267110771
Graham County	275.1166786745879	121.77714291243241	366.1557422927238	128.89768623296177	0.0	68.38455370791503	396.50153986234	248.28760022736049	471.460024322377	276.44005445581547	199.73306503093082	138.89182766238332	1193.5038400802998	312.89885626021083	377.07487891486227	1210.2733110826825	1094.8969172748468	1148.8588022042973	1288.3469236588094	1128.0126530826112	1308.4131745058316	1225.114426895278	1584.975653561308	1158.8341428815625	987.8908300855253	1343.610185720662	1191.4555832401381	510.9360590556492	796.9360119928557	857.3400876006875	974.6783336531159	1343.1223871062482	1288.8765496303452	789.1588665928119	1015.7573809174849	1295.016114612239	1046.1451472410222	1413.5207566457018	1093.9891392895138	1357.19181146562	984.9856313099946	1108.893882776546	1281.746150965408	1206.197979732663	738.5315011942189	1188.7302555605083	1253.1386281507	575.7282996246648	1201.951965467674	1101.4574337619392	619.7489517879368	643.3892658510885	1305.4040816785816	1171.4278791375	1009.4495003112744	1238.7820786295915	956.0269328225863	1174.8262060036043	1386.7664113980359	1205.5087347649314	1473.88932540647	1239.9528081743952	1330.0932414833471	1132.7764348564583	1260.4527612572233	1361.0686338035375	1455.1744117034423	893.214082248856	1073.4857656068398	870.9375829633818	1257.0784745009978	1246.5414484347987	1050.3593609712034	595.070520925327	1098.4419969302462	1033.4931905102203	885.4359613719106	969.349538370789	1005.1721736282902	691.259244248293	1076.8447225322213	988.9944561677406	817.2870753983326	1128.295536393991	1127.0383859009191	1227.6332695828887	850.1843654373206	1123.930241014746
Greenlee County	239.73075780101007	163.35579332566863	369.77892203291947	157.86977771217775	68.38455370791503	0.0	448.09956213462084	302.9070174288817	496.56786545561283	258.97441723013327	267.98988562758416	201.07665433006588	1233.1726286229875	344.38567825749647	438.36192977528185	1246.690787180299	1122.0579442869541	1178.9569723849866	1314.4097562819277	1159.2873676581546	1338.0153321808723	1260.2519735473948	1606.8889395321992	1186.8865292339556	1025.3875623335957	1371.5650381260275	1199.6149900238836	569.5198620597226	830.5685830096382	902.0917667065758	1016.483311716568	1373.998221062767	1307.7645898118124	840.6987648915734	1050.797623966402	1330.6939823236573	1079.444497807559	1444.0319431523728	1130.8844771910383	1372.5292887465946	1013.7712492070873	1151.6286906753076	1314.6508101273937	1232.1964871869584	793.0393829411872	1215.7973004939126	1275.8889832679135	629.17650799358	1233.3984415443197	1141.9995789803013	663.9740671925997	701.7802092101387	1342.9565564657487	1205.3644023726006	1055.8025813167726	1276.9620578161457	1006.584312920589	1213.0484992742815	1408.8534548643297	1229.5258208654773	1493.5810336619847	1273.3714787712033	1363.8498714570583	1168.1819963439855	1289.7168184236548	1386.337410395508	1479.9151995991538	932.3785969659162	1104.3542705216403	921.998672085444	1288.4330378529808	1273.9442434163766	1067.9590157690168	622.4424671592368	1123.574965909057	1031.2993669779198	911.3076398617823	976.6549844921664	1016.2461344712609	705.5649385860613	1100.195847466029	1012.8441508549449	837.3617440073796	1141.8261824120527	1149.1161450224545	1243.7775627906735	853.4212241172704	1148.1138679872327
La Paz County	455.43567852022016	450.40216158440745	312.1176349938672	298.3845447412421	396.50153986234	448.09956213462084	0.0	148.92190000325195	222.86001487883777	387.39536826131183	275.55082414352904	264.0918623500421	809.1929596582551	167.8331647445132	106.70789598514219	833.5721278231586	750.2786637392239	792.2634545195781	943.0696825825197	767.8815132087667	950.5741135710302	851.6772484640758	1249.7725060032578	809.2099261935822	611.2881863439899	990.7048002163456	926.6292699262691	144.13461214376588	439.194625553324	465.781778428346	587.6639537559569	980.726510407862	971.5997639807501	392.9184517159192	645.8578928925161	919.3956109042804	681.107845250784	1051.3788147020139	717.4124804033255	1053.0704603046506	637.7870320677163	719.1461886013482	913.9923134008247	862.9687196495377	345.85864679728786	841.973929125297	921.1792391460492	181.57205347094748	839.8665947134339	715.9837560152362	233.4697821667285	265.9493375821823	925.0422618092754	802.1358932038605	615.0119824680727	857.4662039325175	559.5488453508733	793.9623665858271	1054.3259997381042	869.8472153005291	1149.0281375747509	871.2260575290858	959.3257148641335	759.7836669727876	904.5232661865856	1017.2706449321367	1111.6806599599263	513.7361198527703	715.9722107315612	474.5452756477267	894.398212636431	897.3063812340356	747.7924274163364	290.41895424372296	761.5803433484956	832.4220929619465	554.9559003075487	722.7659362528634	736.6307809412317	440.76406044665237	747.969450320838	661.743759880054	519.25399598669	840.7447230185494	801.6061910920763	924.0751353483057	637.4211707124923	790.0163594965783
Maricopa County	357.3404325458023	305.13758069872614	284.12707136190977	163.93272559651186	248.28760022736049	302.9070174288817	148.92190000325195	0.0	287.6109637583892	302.7957854082991	150.97053511453723	115.64109724394967	954.9208155418348	143.16712695743135	146.11255018003172	976.5599778193508	880.1303782657125	927.2428907917064	1074.09261052408	904.1965691386777	1086.5825178149178	993.4677842936374	1377.8374610350438	941.4278917707853	753.714201697819	1124.9014550172471	1024.6697485787572	267.9355822520539	572.3703235155705	613.6348047052228	734.0689904345919	1118.578228781413	1091.4808392588013	540.948077111042	785.6800229505792	1062.126504190711	819.0761557886499	1189.2905189380992	860.1141931821	1168.0898594734003	768.0028340869818	866.631198636898	1053.7467889612803	992.831392684088	490.68718505538357	973.1732194156377	1046.7485977852	327.4878183186224	977.214750098745	862.0113426577128	378.4056112869543	399.611452535757	1069.5057216652997	942.2121696495785	763.7614987943942	1002.1870225995124	707.9798577718306	938.4296888942412	1180.6739965976524	996.6614395939549	1272.7430699359222	1011.2561333520117	1100.3158619595968	901.1953276644509	1039.641854780244	1147.9745117771488	1242.564057909009	657.0123803039902	850.9955691066501	622.7947093706575	1032.1403080590842	1029.7355841047763	859.8482366531582	393.0695200640308	888.2629429290727	902.7446551586573	677.0246093504561	810.4642248852587	833.9817579878552	522.7331298869383	871.2001892728516	783.5471294018395	625.9467526505662	947.3933676681636	923.7818519864777	1038.0582616089473	708.6114614293994	915.6508718143905
Mohave County	387.0877375241653	566.3102701018606	178.6947039839526	343.4810918704096	471.460024322377	496.56786545561283	222.86001487883777	287.6109637583892	0.0	312.27818825085194	438.4096495416499	380.47884663496575	753.0056155664171	161.10519892568308	327.6665400339092	758.5674359515992	625.4988647228462	683.103261233816	818.1082033888474	664.2927417893685	841.7952308846395	769.7226380023659	1113.5190188296751	690.3463480286412	542.0761622666107	875.0004245523648	738.1407968947565	332.12032801595376	341.28486678951714	452.45537957360915	547.7318994180177	878.3842701968238	818.5204013455536	444.58469156074756	561.5151827724065	840.7358391183611	587.0305038104201	948.1489102693183	644.7325253894352	889.8587509208869	517.4893206397902	683.0954858111199	820.8678903268097	735.8927929024877	432.5248548278452	719.2571023404281	781.6859519068306	302.0393398916312	738.3949281328378	665.7961357267992	240.5332435898412	408.4816216121732	856.5500305929827	713.2405792991453	606.9462090734282	792.4636839750794	586.8139908211602	729.2369432733577	915.3105819279009	734.2579923692939	1002.9558663555566	780.3035077748233	870.9337933603395	678.6557597150469	793.404594928827	890.3725276535132	984.2500700046685	456.2675009732375	609.1496661936393	512.807223508351	793.2611934769956	777.3830150055695	581.6309564156918	126.45674461197119	627.588065240317	618.9528402917826	414.9159747551124	522.8592809787174	547.8149610108479	235.1352265967579	605.4234509913347	517.633396931077	347.2703398497955	664.6309726385409	655.6109200965261	759.8014484432579	423.7869973196659	652.7031916717757
Navajo County	75.32059529510704	398.0351118390162	140.09935481509353	183.6229194745017	276.44005445581547	258.97441723013327	387.39536826131183	302.7957854082991	312.27818825085194	0.0	387.16257950948886	291.23891202066613	1063.2536871636908	222.1595455876418	440.35950889112877	1065.0170781991137	914.4397626662197	978.6138042731604	1101.4189391732384	962.7247140049154	1134.115747999077	1074.1006631781954	1382.0368928307644	980.68749546605	852.2204240245836	1162.8458241316312	953.390116931214	531.461149154588	650.3620859720372	762.2105098922809	860.0086268247262	1173.2750470345957	1078.6524459248749	736.9597564046958	868.4143048279732	1145.2593275275317	890.6867739284751	1241.5294822860674	953.0426685680148	1136.3390152372667	812.7167776305973	995.3087687034607	1120.6565332313369	1019.9822746861852	708.9188405814872	1006.5587841396652	1055.343826187025	551.9462936793865	1036.1646357842956	977.249334661441	536.177727414963	649.1644078376237	1163.6575775489268	1016.2356674282174	917.583520484932	1100.8831619945063	890.3515883361779	1038.2473723478822	1185.6659201469984	1012.4447239070668	1264.8092323082951	1081.5400089445936	1171.8366150780903	984.5094854057567	1085.4598814137591	1170.6804644460026	1262.2182625193	768.3008355685969	907.5681070828564	811.7497516603077	1090.1516285091843	1064.8564517162795	838.583220039315	432.95473970185043	910.6334855352793	775.3751827370547	704.4903242785836	730.690923704138	775.5528228006931	476.3779564452291	883.1829742587665	798.4922629000828	617.5535835454552	904.1048840028627	928.4371911201376	1009.887810158251	603.2958212791087	932.4537038312327
