zipcode,county,state,RMSE,MAE,Type
4001,Apache County,AZ,1.37,1.04,Non-Stationary
4003,Cochise County,AZ,1.28,1.02,Non-Stationary
4005,Coconino County,AZ,0.53,0.4,Non-Stationary
4007,Gila County,AZ,2.25,1.89,Non-Stationary
4009,Graham County,AZ,1.58,1.3,Non-Stationary
4011,Greenlee County,AZ,0.97,0.8,Stationary
4012,La Paz County,AZ,0.62,0.47,Non-Stationary
4013,Maricopa County,AZ,1.3,1.07,Non-Stationary
4015,Mohave County,AZ,0.86,0.65,Non-Stationary
4017,Navajo County,AZ,2.37,1.95,Non-Stationary
4019,Pima County,AZ,1.08,0.85,Non-Stationary
4021,Pinal County,AZ,1.21,1.06,Stationary
4023,Santa Cruz County,AZ,0.91,0.78,Non-Stationary
4025,Yavapai County,AZ,1.25,1,Non-Stationary
4027,Yuma County,AZ,3.84,3.21,Non-Stationary
6001,Alameda County,CA,0.27,0.25,Stationary
6003,Alpine County,CA,3.18,2.96,Non-Stationary
6005,Amador County,CA,2.03,1.83,Non-Stationary
6007,Butte County,CA,2.72,2.5,Non-Stationary
6009,Calaveras County,CA,2.19,1.99,Non-Stationary
6011,Colusa County,CA,0.97,0.82,Non-Stationary
6013,Contra Costa County,CA,3.48,3.17,Non-Stationary
6015,Del Norte County,CA,2.43,2.21,Non-Stationary
6017,El Dorado County,CA,2.67,2.43,Non-Stationary
6019,Fresno County,CA,3.57,3.24,Non-Stationary
6021,Glenn County,CA,0.97,0.87,Non-Stationary
6023,Humboldt County,CA,2.07,1.9,Non-Stationary
6025,Imperial County,CA,7.8,7.17,Non-Stationary
6027,Inyo County,CA,0.57,0.53,Non-Stationary
6029,Kern County,CA,1.43,1.33,Stationary
6031,Kings County,CA,2.97,2.69,Non-Stationary
6033,Lake County,CA,2.38,2.15,Non-Stationary
6035,Lassen County,CA,0.27,0.24,Non-Stationary
6037,Los Angeles County,CA,0.57,0.48,Stationary
6039,Madera County,CA,3.3,3,Non-Stationary
6041,Marin County,CA,0.25,0.23,Stationary
6043,Mariposa County,CA,2.12,1.87,Non-Stationary
6045,Mendocino County,CA,1.81,1.66,Non-Stationary
6047,Merced County,CA,3.76,3.41,Non-Stationary
6049,Modoc County,CA,1.15,0.93,Non-Stationary
6051,Mono County,CA,0.28,0.25,Non-Stationary
6053,Monterey County,CA,1.86,1.61,Non-Stationary
6055,Napa County,CA,1.16,1.07,Non-Stationary
6057,Nevada County,CA,1.89,1.71,Non-Stationary
6059,Orange County,CA,2.6,2.37,Non-Stationary
6061,Placer County,CA,2.96,2.69,Non-Stationary
6063,Plumas County,CA,0.78,0.7,Non-Stationary
6065,Riverside County,CA,3.54,3.23,Non-Stationary
6067,Sacramento County,CA,2.67,2.42,Non-Stationary
6069,San Benito County,CA,2.57,2.37,Non-Stationary
6071,San Bernardino County,CA,3.38,3.05,Non-Stationary
6073,San Diego County,CA,2.76,2.52,Non-Stationary
6075,San Francisco County,CA,0.27,0.22,Stationary
6077,San Joaquin County,CA,4.19,3.81,Non-Stationary
6079,San Luis Obispo County,CA,1.93,1.77,Non-Stationary
6081,San Mateo County,CA,0.19,0.18,Stationary
6083,Santa Barbara County,CA,1.05,0.92,Stationary
6085,Santa Clara County,CA,0.25,0.22,Stationary
6087,Santa Cruz County,CA,3.28,2.97,Non-Stationary
6089,Shasta County,CA,1.69,1.53,Non-Stationary
6091,Sierra County,CA,1.35,1.27,Non-Stationary
6093,Siskiyou County,CA,2.22,1.98,Non-Stationary
6095,Solano County,CA,2.21,2.01,Non-Stationary
6097,Sonoma County,CA,2.07,1.9,Non-Stationary
6099,Stanislaus County,CA,3.34,3.03,Non-Stationary
6101,Sutter County,CA,2.31,2.07,Non-Stationary
6103,Tehama County,CA,1.98,1.78,Non-Stationary
6105,Trinity County,CA,1.15,1.07,Non-Stationary
6107,Tulare County,CA,4.64,4.18,Non-Stationary
6109,Tuolumne County,CA,2.02,1.84,Non-Stationary
6111,Ventura County,CA,3.08,2.81,Non-Stationary
6113,Yolo County,CA,2.36,2.11,Non-Stationary
6115,Yuba County,CA,3.7,3.37,Non-Stationary
32001,Churchill County,NV,0.48,0.42,Non-Stationary
32003,Clark County,NV,0.58,0.53,Stationary
32005,Douglas County,NV,1.3,1.17,Non-Stationary
32007,Elko County,NV,0.63,0.57,Non-Stationary
32009,Esmeralda County,NV,0.6,0.53,Stationary
32011,Eureka County,NV,0.91,0.72,Non-Stationary
32013,Humboldt County,NV,0.63,0.54,Non-Stationary
32015,Lander County,NV,1.5,1.33,Non-Stationary
32017,Lincoln County,NV,0.69,0.59,Non-Stationary
32019,Lyon County,NV,1.21,1.09,Non-Stationary
32021,Mineral County,NV,8,7.33,Non-Stationary
32023,Nye County,NV,2.07,1.86,Non-Stationary
32027,Pershing County,NV,2.12,1.98,Non-Stationary
32029,Storey County,NV,0.41,0.3,Non-Stationary
32031,Washoe County,NV,1.31,1.19,Non-Stationary
32033,White Pine County,NV,0.44,0.34,Non-Stationary
32510,Carson City,NV,1.25,1.15,Non-Stationary
,,,,,
,,,1.913444444,1.711333333,
