zipcode,county,state,p-value,Conclusion
4001,Apache County,AZ,0.03360566129286385,Heteroscedasticity Present
4003,Cochise County,AZ,0.770164851860668,No Heteroscedasticity
4005,Coconino County,AZ,0.0004949403747759258,Heteroscedasticity Present
4007,Gila County,AZ,0.26521188266252166,No Heteroscedasticity
4009,Graham County,AZ,0.6659679368936047,No Heteroscedasticity
4011,Greenlee County,AZ,0.21738798542186744,No Heteroscedasticity
4012,La Paz County,AZ,9.089899630362717e-12,Heteroscedasticity Present
4013,Maricopa County,AZ,0.0004712470442893493,Heteroscedasticity Present
4015,Mohave County,AZ,0.013390747444833581,Heteroscedasticity Present
4017,Navajo County,AZ,0.1262088825525019,No Heteroscedasticity
4019,Pima County,AZ,8.862603043611684e-05,Heteroscedasticity Present
4021,Pinal County,AZ,0.004411055891632967,Heteroscedasticity Present
4023,Santa Cruz County,AZ,1.7670620555620123e-05,Heteroscedasticity Present
4025,Yavapai County,AZ,0.007741621297663925,Heteroscedasticity Present
4027,Yuma County,AZ,0.0013606977361028812,Heteroscedasticity Present
6001,Alameda County,CA,1.689761899926195e-08,Heteroscedasticity Present
6003,Alpine County,CA,0.42160743074825646,No Heteroscedasticity
6005,Amador County,CA,5.5011075767671265e-06,Heteroscedasticity Present
6007,Butte County,CA,3.7147847348816e-05,Heteroscedasticity Present
6009,Calaveras County,CA,0.005799218767458434,Heteroscedasticity Present
6011,Colusa County,CA,0.10309902155018616,No Heteroscedasticity
6013,Contra Costa County,CA,2.3034503534652463e-07,Heteroscedasticity Present
6015,Del Norte County,CA,0.07441290305963276,No Heteroscedasticity
6017,El Dorado County,CA,8.915066861540825e-05,Heteroscedasticity Present
6019,Fresno County,CA,0.0003151327152692812,Heteroscedasticity Present
6021,Glenn County,CA,0.07285158893048192,No Heteroscedasticity
6023,Humboldt County,CA,4.958073572960186e-06,Heteroscedasticity Present
6025,Imperial County,CA,0.7153197081826692,No Heteroscedasticity
6027,Inyo County,CA,0.004453957346139386,Heteroscedasticity Present
6029,Kern County,CA,0.7624736051024337,No Heteroscedasticity
6031,Kings County,CA,0.023409569269883808,Heteroscedasticity Present
6033,Lake County,CA,0.0002006066767425083,Heteroscedasticity Present
6035,Lassen County,CA,0.002660448480774558,Heteroscedasticity Present
6037,Los Angeles County,CA,7.428940477602817e-08,Heteroscedasticity Present
6039,Madera County,CA,0.0011677159072062439,Heteroscedasticity Present
6041,Marin County,CA,1.0862433936489159e-05,Heteroscedasticity Present
6043,Mariposa County,CA,0.00026282309230924,Heteroscedasticity Present
6045,Mendocino County,CA,0.0009560170948058567,Heteroscedasticity Present
