County,Ensemble_RMSE,Ensemble_MAE,AR_Weight,SARIMA_Weight,GAT_Weight,AR_Order,SARIMA_Order,SARIMA_Seasonal_Order,AR_RMSE,SARIMA_RMSE,GAT_RMSE
Apache County,1.1942122371594808,0.9217801513704295,0.8205704856713208,0.0,0.17942951432867918,12,"(0, 1, 0)","(0, 0, 1, 12)",1.3230302086363999,,1.1831306
Cochise County,0.9963773926405811,0.8549375828103295,0.9333045543843417,0.0,0.06669544561565838,12,"(0, 0, 1)","(1, 0, 0, 12)",0.8687676696296005,,3.1554668
Coconino County,1.1946781209266986,1.049039589654982,0.9258091230706422,0.0,0.07419087692935775,12,"(1, 0, 1)","(0, 0, 1, 12)",1.0392169786631678,,3.4334874
Gila County,1.3424727797098417,1.1945699501913882,0.9228096346014039,0.0,0.07719036539859613,12,"(0, 0, 0)","(1, 1, 1, 12)",1.2012879031178587,,3.3427083
Graham County,1.771757904852507,1.690653778264864,0.8922004903902168,0.0,0.10779950960978327,12,"(1, 0, 1)","(0, 0, 1, 12)",1.5235304221495127,,4.0260377
Greenlee County,1.2482878346074961,1.1209151721979147,0.943574668220785,0.0,0.05642533177921501,4,"(1, 0, 1)","(0, 0, 0, 12)",1.0782577791683055,,4.5865703
La Paz County,1.0775004756332625,0.9899573413417202,0.8840841235052437,0.0,0.11591587649475636,10,"(1, 0, 1)","(0, 0, 0, 12)",0.8594345285227831,,3.0244133
Maricopa County,1.1263673493551911,1.0250644447507136,0.9498930275882418,0.0,0.05010697241175821,4,"(0, 0, 1)","(1, 0, 0, 12)",0.9904573068515318,,4.0834174
Mohave County,0.9826732198078414,0.8104575699657518,0.9687377759129703,0.0,0.031262224087029694,12,"(1, 0, 0)","(1, 0, 0, 12)",0.9314891248692108,,3.0137157
Navajo County,0.9545094741871357,0.7420922113069829,0.8640421055410097,0.0,0.13595789445899034,12,"(1, 0, 0)","(0, 0, 1, 12)",0.8144540926303329,,2.085008
Pima County,1.191835874670764,1.0875910441245649,0.9315222080836781,0.0,0.0684777919163219,12,"(0, 0, 1)","(1, 0, 0, 12)",1.027424382600152,,3.7589488
Pinal County,1.3209419923272585,1.2209012449420527,0.9383166568459571,0.0,0.06168334315404285,12,"(1, 0, 1)","(0, 0, 0, 12)",1.2037313472697813,,3.3693018
Santa Cruz County,1.570199561416614,1.4185330722895209,0.7764830098949097,0.0,0.22351699010509024,10,"(1, 0, 1)","(0, 0, 1, 12)",1.6323172211610284,,1.5445645
Yavapai County,1.155716196842158,1.0721770164564985,0.9260444857528437,0.0,0.07395551424715625,12,"(1, 0, 0)","(0, 0, 0, 12)",0.9558509394640912,,3.9602394
Yuma County,1.540905244660221,1.3839620368593286,0.8424112619124334,0.0,0.15758873808756654,12,"(1, 0, 1)","(0, 0, 1, 12)",1.37883721478745,,4.2750487
Alameda County,0.3904745031784734,0.31931456516835394,0.9349367241302217,0.0,0.06506327586977834,14,"(1, 1, 1)","(0, 1, 0, 12)",0.2830245283569136,,2.4488614
Alpine County,0.5420997670278422,0.457826165836698,0.5147548590951648,0.0,0.4852451409048352,12,"(1, 0, 1)","(0, 0, 0, 12)",0.8902889141200492,,0.883487
Amador County,0.31503222328008335,0.29395760984559977,0.9414575686718645,0.0,0.05854243132813551,14,"(1, 1, 0)","(1, 0, 1, 12)",0.2946509574162344,,1.6952146
Butte County,0.3367571219269514,0.26903073870122407,0.9462749282688125,0.0,0.05372507173118747,14,"(1, 0, 1)","(0, 1, 1, 12)",0.3112347021472803,,1.4648283
Calaveras County,0.26724810633890494,0.19819693015201686,0.9427258128170964,0.0,0.05727418718290351,14,"(1, 0, 0)","(1, 1, 1, 12)",0.2349036561594283,,2.2614388
Colusa County,4.517173127708821,3.8523456121563373,0.6918662870808912,0.0,0.3081337129191088,6,"(1, 0, 0)","(0, 1, 1, 12)",2.5389315334921703,,10.766342
Contra Costa County,0.3506988000259326,0.29939948089554075,0.9348163892646333,0.0,0.06518361073536669,14,"(1, 1, 1)","(0, 1, 0, 12)",0.25854409370147696,,2.4414864
Del Norte County,0.31624440578290486,0.30293836754199477,0.8849944844892117,0.0,0.11500551551078828,14,"(0, 1, 1)","(1, 1, 1, 12)",0.29876134618180145,,1.0829118
El Dorado County,0.3328738206131939,0.29918463828653835,0.9362911778048592,0.0,0.06370882219514087,4,"(1, 1, 1)","(0, 1, 0, 12)",0.33764369082700296,,2.5683458
Fresno County,1.1177450910658813,0.9526052853772202,0.5991111072468772,0.0,0.40088889275312284,6,"(1, 0, 0)","(0, 1, 1, 12)",0.5844640949669292,,2.069559
Glenn County,0.6307940605584442,0.549065699168514,0.8406948561865206,0.0,0.15930514381347932,14,"(1, 0, 0)","(0, 1, 1, 12)",0.5073122446095953,,1.429008
Humboldt County,0.4696567956923252,0.4270484689025233,0.8718534782792344,0.0,0.1281465217207656,4,"(1, 1, 1)","(0, 1, 0, 12)",0.4572194373270882,,1.937628
Imperial County,0.26735656346447223,0.18181285729563404,0.9453316435015071,0.0,0.05466835649849287,14,"(1, 0, 0)","(1, 0, 0, 12)",0.7346356942408065,,10.495303
Inyo County,0.3969185783215056,0.3179464216334987,0.9428917143822519,0.0,0.05710828561774803,6,"(1, 1, 1)","(1, 1, 1, 12)",0.4568296876963535,,2.870433
Kern County,0.5981289038620802,0.5436409061289366,0.8472429984214883,0.0,0.15275700157851166,14,"(1, 1, 1)","(1, 1, 1, 12)",0.26733362563771673,,2.7849557
Kings County,0.6595000812255664,0.5600325628085306,0.8441155343919203,0.0,0.15588446560807964,14,"(1, 0, 0)","(1, 1, 1, 12)",0.3215472226728653,,2.9051073
Lake County,0.6314331322547121,0.5528712565154706,0.8540045573499594,0.0,0.1459954426500406,4,"(1, 0, 1)","(0, 1, 1, 12)",0.6635518118145499,,1.111988
