zipcode,county,state,RMSE,MAE,Type
4001,Apache County,AZ,1.54,1.19,Non-Stationary
4003,Cochise County,AZ,1.06,0.78,Non-Stationary
4005,Coconino County,AZ,1.4,1.08,Non-Stationary
4007,Gila County,AZ,1.2,0.98,Non-Stationary
4009,Graham County,AZ,1.1,0.95,Non-Stationary
4011,Greenlee County,AZ,0.59,0.46,Stationary
4012,La Paz County,AZ,0.92,0.69,Non-Stationary
4013,Maricopa County,AZ,0.87,0.7,Non-Stationary
4015,Mohave County,AZ,1.06,0.77,Non-Stationary
4017,Navajo County,AZ,1.19,0.84,Non-Stationary
4019,Pima County,AZ,0.95,0.75,Non-Stationary
4021,Pinal County,AZ,0.84,0.71,Stationary
4023,Santa Cruz County,AZ,1.6,1.19,Non-Stationary
4025,Yavapai County,AZ,1.01,0.82,Non-Stationary
4027,Yuma County,AZ,2.08,1.69,Non-Stationary
6001,Alameda County,CA,0.31,0.23,Stationary
6003,Alpine County,CA,0.89,0.77,Non-Stationary
6005,Amador County,CA,0.42,0.33,Non-Stationary
6007,Butte County,CA,0.37,0.27,Non-Stationary
6009,Calaveras County,CA,0.34,0.27,Non-Stationary
6011,Colusa County,CA,1.34,1.15,Non-Stationary
6013,Contra Costa County,CA,0.23,0.18,Non-Stationary
6015,Del Norte County,CA,0.39,0.32,Non-Stationary
6017,El Dorado County,CA,0.32,0.22,Non-Stationary
6019,Fresno County,CA,0.37,0.27,Non-Stationary
6021,Glenn County,CA,0.47,0.37,Non-Stationary
6023,Humboldt County,CA,0.43,0.32,Non-Stationary
6025,Imperial County,CA,0.66,0.5,Non-Stationary
6027,Inyo County,CA,0.37,0.26,Non-Stationary
6029,Kern County,CA,1.92,1.69,Stationary
6031,Kings County,CA,0.39,0.31,Non-Stationary
6033,Lake County,CA,0.47,0.41,Non-Stationary
6035,Lassen County,CA,0.79,0.66,Non-Stationary
6037,Los Angeles County,CA,0.42,0.3,Stationary
6039,Madera County,CA,0.34,0.27,Non-Stationary
6041,Marin County,CA,0.27,0.19,Stationary
6043,Mariposa County,CA,1.09,1.02,Non-Stationary
6045,Mendocino County,CA,0.46,0.38,Non-Stationary
6047,Merced County,CA,0.45,0.32,Non-Stationary
6049,Modoc County,CA,0.71,0.48,Non-Stationary
6051,Mono County,CA,0.86,0.46,Non-Stationary
6053,Monterey County,CA,0.58,0.47,Non-Stationary
6055,Napa County,CA,0.42,0.3,Non-Stationary
6057,Nevada County,CA,0.31,0.25,Non-Stationary
6059,Orange County,CA,0.25,0.2,Non-Stationary
6061,Placer County,CA,0.3,0.23,Non-Stationary
6063,Plumas County,CA,0.6,0.43,Non-Stationary
6065,Riverside County,CA,0.37,0.24,Non-Stationary
6067,Sacramento County,CA,0.28,0.21,Non-Stationary
6069,San Benito County,CA,0.5,0.44,Non-Stationary
6071,San Bernardino County,CA,0.31,0.21,Non-Stationary
6073,San Diego County,CA,0.32,0.27,Non-Stationary
6075,San Francisco County,CA,0.21,0.16,Stationary
6077,San Joaquin County,CA,0.46,0.34,Non-Stationary
6079,San Luis Obispo County,CA,0.34,0.22,Non-Stationary
6081,San Mateo County,CA,0.25,0.19,Stationary
6083,Santa Barbara County,CA,1.23,1.03,Stationary
6085,Santa Clara County,CA,0.27,0.21,Stationary
6087,Santa Cruz County,CA,0.44,0.33,Non-Stationary
6089,Shasta County,CA,0.39,0.28,Non-Stationary
6091,Sierra County,CA,0.4,0.35,Non-Stationary
6093,Siskiyou County,CA,0.41,0.3,Non-Stationary
6095,Solano County,CA,0.29,0.22,Non-Stationary
6097,Sonoma County,CA,0.27,0.18,Non-Stationary
6099,Stanislaus County,CA,0.39,0.32,Non-Stationary
6101,Sutter County,CA,0.51,0.43,Non-Stationary
6103,Tehama County,CA,0.35,0.26,Non-Stationary
6105,Trinity County,CA,0.28,0.22,Non-Stationary
6107,Tulare County,CA,0.52,0.43,Non-Stationary
6109,Tuolumne County,CA,0.43,0.3,Non-Stationary
6111,Ventura County,CA,0.4,0.26,Non-Stationary
6113,Yolo County,CA,0.36,0.3,Non-Stationary
6115,Yuba County,CA,0.43,0.32,Non-Stationary
32001,Churchill County,NV,0.57,0.5,Non-Stationary
32003,Clark County,NV,0.17,0.15,Stationary
32005,Douglas County,NV,0.69,0.62,Non-Stationary
32007,Elko County,NV,0.63,0.55,Non-Stationary
32009,Esmeralda County,NV,1.1,0.9,Stationary
32011,Eureka County,NV,0.46,0.39,Non-Stationary
32013,Humboldt County,NV,0.26,0.24,Non-Stationary
32015,Lander County,NV,0.61,0.53,Non-Stationary
32017,Lincoln County,NV,0.25,0.18,Non-Stationary
32019,Lyon County,NV,0.56,0.42,Non-Stationary
32021,Mineral County,NV,1.25,1.07,Non-Stationary
32023,Nye County,NV,0.39,0.29,Non-Stationary
32027,Pershing County,NV,0.25,0.23,Non-Stationary
32029,Storey County,NV,0.66,0.58,Non-Stationary
32031,Washoe County,NV,0.58,0.5,Non-Stationary
32033,White Pine County,NV,0.18,0.12,Non-Stationary
32510,Carson City,NV,0.74,0.63,Non-Stationary
,,,,,
,,,0.607888889,0.481666667,
