county,train_mae,train_rmse,test_mae,test_rmse
Apache County,1.2061889,1.3670346,1.2159897,1.3884933
Cochise County,1.9796928,2.0821502,1.9770972,2.0796409
Coconino County,2.229687,2.3384712,2.2263963,2.3353043
Gila County,2.1630177,2.2516544,2.1592586,2.2479954
Graham County,2.87968,2.9396105,2.8750231,2.9350083
Greenlee County,3.4463456,3.4762535,3.44119,3.4711027
La Paz County,1.846352,1.9026352,1.84276,1.8991003
Maricopa County,2.9463537,2.9923677,2.943042,2.9890711
Mohave County,1.8296796,1.9161792,1.8250946,1.9117379
Navajo County,0.784703,1.0515149,0.7822786,1.0490357
Pima County,2.6130126,2.6738875,2.6081116,2.66904
Pinal County,2.2130127,2.284571,2.208235,2.2798767
Santa Cruz County,1.0902478,1.3419397,1.0886153,1.3419538
Yavapai County,2.8130214,2.8526876,2.8096173,2.8492978
Yuma County,4.936979,5.395914,4.9403186,5.3989053
Alameda County,1.2463557,1.2692498,1.2430621,1.2659627
Alpine County,0.70618266,1.0848987,0.7075565,1.0866376
Amador County,0.39344344,0.43604138,0.3912089,0.43350232
Butte County,0.3097515,0.41762856,0.31119704,0.4191223
Calaveras County,0.96301556,1.006317,0.9590421,1.0024831
Colusa County,11.153652,11.540649,11.157634,11.544572
Contra Costa County,1.229681,1.2565895,1.2254249,1.252355
Del Norte County,0.50364906,0.5506589,0.50681704,0.55355287
El Dorado County,1.3463491,1.3630348,1.3424302,1.3591292
Fresno County,2.7203178,2.7667987,2.7243383,2.7707522
Glenn County,1.3703136,1.4930452,1.3729142,1.4954805
Humboldt County,0.6130171,0.6672048,0.60933167,0.66379344
Imperial County,11.503639,11.564741,11.506081,11.567158
Inyo County,1.6630188,1.6776599,1.6598483,1.6745023
Kern County,3.436984,3.506352,3.4407072,3.5100167
Kings County,3.5369809,3.6094162,3.5401375,3.612532
Lake County,0.73698,0.7889657,0.7395796,0.79142696
Lassen County,0.8597515,0.9925179,0.86117953,0.99459463
Los Angeles County,0.84635496,0.88663995,0.8436714,0.8840755
Madera County,2.4536479,2.5062466,2.4568434,2.509387
Marin County,2.1630147,2.1796668,2.1589172,2.1755543
Mariposa County,0.50475556,0.5598586,0.50499487,0.56040704
Mendocino County,0.46010828,0.4831042,0.457803,0.48058054
Merced County,4.620317,4.747934,4.623991,4.751545
Modoc County,2.5036535,2.89841,2.5077603,2.9020808
Mono County,1.8630167,1.8974137,1.8594036,1.8938191
Monterey County,3.4036462,3.751315,3.4068506,3.754325
Napa County,1.7463489,1.7552836,1.7426786,1.7516202
Nevada County,1.479681,1.4934978,1.4755688,1.4893868
Orange County,1.9963509,2.0124693,1.9929117,2.0090172
Placer County,1.713013,1.7314564,1.7086233,1.7270665
Plumas County,3.8703196,4.2865705,3.8744843,4.290435
Riverside County,0.67970544,0.74448806,0.67804694,0.7429162
Sacramento County,1.013014,1.0419669,1.0088362,1.0378305
San Benito County,1.1536497,1.2369329,1.1569608,1.2400515
San Bernardino County,0.81301826,0.86165375,0.8097005,0.8584333
San Diego County,1.4963545,1.5213709,1.4934406,1.5184618
San Francisco County,2.2130127,2.226472,2.2083704,2.2218096
San Joaquin County,1.0869857,1.1265644,1.0911721,1.1305958
San Luis Obispo County,2.029685,2.046313,2.0264828,2.0431085
San Mateo County,2.4463494,2.4616985,2.4422593,2.4575906
Santa Barbara County,0.99634427,1.0817848,0.9909683,1.0769016
Santa Clara County,1.8630182,1.8809721,1.8592912,1.8772367
Santa Cruz County,1.1203184,1.2436018,1.124072,1.2470405
Shasta County,0.35475674,0.4581696,0.3550446,0.458731
Sierra County,1.0909095,1.1717808,1.0909059,1.1727176
Siskiyou County,1.8369865,2.0019994,1.8412851,2.0060399
Solano County,0.6630132,0.6978952,0.6588261,0.6938336
Sonoma County,1.813017,1.8271706,1.8094416,1.8235904
Stanislaus County,1.3203163,1.3541334,1.3235464,1.3572845
Sutter County,3.270317,3.384164,3.2739418,3.3877158
Tehama County,0.6369841,0.7458105,0.64057684,0.74891144
Trinity County,0.8097505,1.0137097,0.81093436,1.0161835
Tulare County,5.4703183,5.5038147,5.4742794,5.507765
Tuolumne County,0.3601075,0.39801556,0.35764503,0.3955574
Ventura County,1.1463486,1.1968201,1.1426231,1.1931865
Yolo County,0.47677374,0.49543992,0.4741768,0.49279746
Yuba County,1.7536497,1.8408673,1.7573576,1.8444316
Churchill County,1.8130163,1.8346188,1.8093996,1.8309871
Clark County,0.66301864,0.74917567,0.65956044,0.7459658
Douglas County,1.3130141,1.34065,1.3088768,1.3365161
Elko County,2.1796799,2.1970837,2.1752732,2.1926603
Esmeralda County,1.013015,1.284043,1.0088973,1.280711
Eureka County,1.7796808,1.8580879,1.7753214,1.8538489
Humboldt County,2.0463488,2.0759776,2.04259,2.072211
Lander County,2.3296833,2.3415668,2.325853,2.3377218
Lincoln County,1.263014,1.2904755,1.2586825,1.2861685
Lyon County,0.14810443,0.20253654,0.15120745,0.20482899
Mineral County,0.7256687,0.9078219,0.7266538,0.909836
Nye County,0.6536526,0.7250112,0.65790707,0.72867155
Pershing County,0.9296813,0.9851235,0.92580914,0.9814068
Storey County,1.6796805,1.6876744,1.6751629,1.6831553
Washoe County,1.7963496,1.8078936,1.7924255,1.8039509
White Pine County,2.4963276,2.510099,2.4659123,2.4796212
Carson City,1.3629942,1.3868953,1.332579,1.3566111
