County,AR_RMSE,SARIMA_RMSE,GAT_RMSE,Ensemble_RMSE,Ensemble_MAE,AR_Ens,SAR_Ens,GAT_Ens,GCN_RMSE,GCN_MAE,AR_GCN,SAR_GCN,GAT_GCN
Apache County,1.323030209,1.212490337,1.35228,0.877102878,0.652972466,33.70499993,27.66104184,35.13895955,0.647332433,0.546771944,51.07198393,46.6113326,52.130296
Cochise County,0.86876767,0.699767065,1.9988115,1.135968161,1.011079103,-30.75626557,-62.33518521,43.16781941,0.652876288,0.496780962,24.85030109,6.70091222,67.33677547
Coconino County,1.039216979,0.510928902,2.2728806,1.196191879,1.066160967,-15.10511311,-134.1210045,47.37110789,1.159719109,0.931993186,-11.59547352,-126.9824831,48.97580152
Gila County,1.201287903,0.915162553,2.182621,1.39352338,1.267463631,-16.00244839,-52.27058566,36.15367121,1.205360862,1.139285445,-0.339049338,-31.71002875,44.77461448
Graham County,1.523530422,0.735548642,2.8777187,1.670427847,1.595203403,-9.641909551,-127.099576,41.95305304,0.777203341,0.698108017,48.98668711,-5.663078789,72.99237965
Greenlee County,1.36555804,0.414214448,3.4241257,1.658796462,1.602974671,-21.47388929,-300.4680357,51.55562012,1.251536236,0.944405317,8.349832136,-202.1469294,63.44946577
La Paz County,0.893098367,0.73740088,1.8471271,1.094835751,0.986178083,-22.58848431,-48.47225986,40.72764395,0.996819325,0.891188145,-11.61360968,-35.18011063,46.03406959
Maricopa County,1.01564155,0.480551658,2.9257693,1.41941996,1.366274705,-39.75599558,-195.3730231,51.48558159,0.891069268,0.662625253,12.26537867,-85.42632267,69.54410356
Mohave County,0.931489125,0.629533827,1.839015,1.08777661,0.974439672,-16.77824048,-72.7908119,40.85004145,0.747056948,0.683377504,19.79971334,-18.66827745,59.37733251
Navajo County,0.814454093,0.85887119,0.98565775,0.872731196,0.618365566,-7.155357667,-1.613746723,11.45697419,0.569759597,0.475625664,30.0439887,33.66181053,42.19498631
Pima County,1.027424383,0.519598314,2.6033087,1.318955687,1.243093407,-28.37496451,-153.8414101,49.33540972,1.067111387,0.844950676,-3.862766369,-105.3723728,59.00941803
Pinal County,1.203731347,0.671909055,2.2084196,1.311904955,1.224995971,-8.986524092,-95.25037577,40.59530377,0.791343037,0.632402658,34.25916512,-17.77531964,64.1669981
Santa Cruz County,1.55480494,0.961130527,1.1052889,1.026352887,0.811156037,33.98831839,-6.786004333,7.141663441,0.837859004,0.699689567,46.11163223,12.82567969,24.19547467
Yavapai County,0.955850939,0.600259844,2.7960088,1.394561628,1.334390845,-45.89739572,-132.3263237,50.12313167,0.798367094,0.668889284,16.47577442,-33.0035821,71.44618806
Yuma County,1.378837215,1.511980951,5.3221135,1.94424806,1.556025115,-41.00635223,-28.58945468,63.46849687,1.231219883,0.83872509,10.70592892,18.56908765,76.86595968
